Author,Name,URL,LastUpdated
lmcintyre,OrchestrionPlugin (fork),https://github.com/lmcintyre/OrchestrionPlugin,2021-09-04
0ceal0t,EasyEyes,https://github.com/0ceal0t/EasyEyes,2021-09-03
0ceal0t,SkillSwap,https://github.com/0ceal0t/SkillSwap,2021-09-03
fmauNeko,MarketBoardPlugin,https://github.com/fmauNeko/MarketBoardPlugin,2021-09-03
SlashNephy,Dalamud.Divination.Voiceroid2Talker,https://github.com/SlashNephy/Dalamud.Divination.Voiceroid2Talker,2021-09-03
sazo2300,DelvUI (fork),https://github.com/sazo2300/DelvUI,2021-09-03
guillaume-macquat,LootGuidePlugin,https://github.com/guillaume-macquat/LootGuidePlugin,2021-09-03
SlashNephy,Dalamud.Divination.Calculator,https://github.com/SlashNephy/Dalamud.Divination.Calculator,2021-09-03
SlashNephy,Dalamud.Divination.PowerUtils,https://github.com/SlashNephy/Dalamud.Divination.PowerUtils,2021-09-03
SlashNephy,Dalamud.Divination.DiscordIntegration,https://github.com/SlashNephy/Dalamud.Divination.DiscordIntegration,2021-09-03
SlashNephy,Dalamud.Divination.TwitterIntegration,https://github.com/SlashNephy/Dalamud.Divination.TwitterIntegration,2021-09-03
akira0245,MidiBard,https://github.com/akira0245/MidiBard,2021-09-03
TJourney,SpeakingSpell,https://github.com/TJourney/SpeakingSpell,2021-09-03
goaaats,Dalamud.DiscordBridge,https://github.com/goaaats/Dalamud.DiscordBridge,2021-09-02
bayov,DelvUI (fork),https://github.com/bayov/DelvUI,2021-09-02
fitzchivalrik,gentletouch,https://github.com/fitzchivalrik/gentletouch,2021-09-02
lokinmodar,Echoglossian,https://github.com/lokinmodar/Echoglossian,2021-09-01
xivdev,Penumbra,https://github.com/xivdev/Penumbra,2021-09-01
markjsosnowski,OceanFishin,https://github.com/markjsosnowski/OceanFishin,2021-08-31
wozaiha,SimpleTweaksPlugin (fork),https://github.com/wozaiha/SimpleTweaksPlugin,2021-08-31
Sweenus,DelvUI (fork),https://github.com/Sweenus/DelvUI,2021-08-31
goaaats,Dalamud.RichPresence,https://github.com/goaaats/Dalamud.RichPresence,2021-08-30
goaaats,Dalamud.CharacterSync,https://github.com/goaaats/Dalamud.CharacterSync,2021-08-30
daemitus,YesAlready,https://github.com/daemitus/YesAlready,2021-08-30
schmali18,delvui (fork),https://github.com/schmali18/delvui,2021-08-30
Dezpyer,delvui (fork),https://github.com/Dezpyer/delvui,2021-08-29
maributt,SimpleTweaksPlugin (fork),https://github.com/maributt/SimpleTweaksPlugin,2021-08-29
Eternita-S,QuestAWAY,https://github.com/Eternita-S/QuestAWAY,2021-08-29
Ottermandias,RezPls,https://github.com/Ottermandias/RezPls,2021-08-29
Ottermandias,AutoVisor,https://github.com/Ottermandias/AutoVisor,2021-08-29
daemitus,SomethingNeedDoing,https://github.com/daemitus/SomethingNeedDoing,2021-08-29
xorus,EngageTimer,https://github.com/xorus/EngageTimer,2021-08-29
Eternita-S,Weatherman,https://github.com/Eternita-S/Weatherman,2021-08-29
Minizbot2012,MZRadialMenu,https://github.com/Minizbot2012/MZRadialMenu,2021-08-29
msdx321,Glamourer (fork),https://github.com/msdx321/Glamourer,2021-08-29
msdx321,Penumbra (fork),https://github.com/msdx321/Penumbra,2021-08-29
daemitus,XIVComboPlugin (fork),https://github.com/daemitus/XIVComboPlugin,2021-08-29
Ottermandias,Peon,https://github.com/Ottermandias/Peon,2021-08-28
KingMulu,XIVComboPluginMulu (fork),https://github.com/KingMulu/XIVComboPluginMulu,2021-08-27
marimelon,MarketBoardPlugin (fork),https://github.com/marimelon/MarketBoardPlugin,2021-08-26
Caraxi,ItemSearchPlugin,https://github.com/Caraxi/ItemSearchPlugin,2021-08-26
Aireil,FFLogsViewer,https://github.com/Aireil/FFLogsViewer,2021-08-26
LuisMSoares,OopsAllLalafells (fork),https://github.com/LuisMSoares/OopsAllLalafells,2021-08-26
Ottermandias,GatherBuddy,https://github.com/Ottermandias/GatherBuddy,2021-08-25
rslota,delvui (fork),https://github.com/rslota/delvui,2021-08-25
karashiiro,PingPlugin,https://github.com/karashiiro/PingPlugin,2021-08-25
karashiiro,SoundSetter,https://github.com/karashiiro/SoundSetter,2021-08-25
